id,name,category,supplier_id,voltage,interface,temp_min_c,temp_max_c,cost_eur,status
COMP-001,HVAC Controller,HVAC,SUP-001,24 V DC,CAN,-20,60,1850,ACTIVE
COMP-002,HVAC Fan Standard,HVAC,SUP-002,24 V DC,PWM,-20,60,920,ACTIVE
COMP-003,HVAC Fan High Capacity,HVAC,SUP-002,24 V DC,PWM,-20,60,1180,ACTIVE
COMP-004,HVAC Fan Nordic,HVAC,SUP-002,24 V DC,PWM,-40,60,1260,ACTIVE
COMP-005,HVAC Temperature Sensor,HVAC,SUP-006,5 V DC,CAN,-20,60,140,ACTIVE
COMP-006,HVAC Temperature Sensor Nordic,HVAC,SUP-006,5 V DC,CAN,-40,60,165,ACTIVE
COMP-007,HVAC Filter,HVAC,SUP-002,,,-20,60,85,ACTIVE
COMP-008,Door Control Unit,DOOR,SUP-003,24 V DC,CAN,-25,60,1320,ACTIVE
COMP-009,Door Control Unit Heavy Duty,DOOR,SUP-003,24 V DC,CAN,-30,60,1490,ACTIVE
COMP-010,Door Control Unit Export,DOOR,SUP-003,48 V DC,CAN,-25,60,1510,ACTIVE
COMP-011,Door Motor,DOOR,SUP-003,24 V DC,PWM,-25,60,780,ACTIVE
COMP-012,Door Position Sensor,DOOR,SUP-006,5 V DC,IO,-25,60,95,ACTIVE
COMP-013,Brake Control Unit,BRAKE,SUP-003,24 V DC,CAN,-25,65,2480,ACTIVE
COMP-014,Brake Control Unit Nordic,BRAKE,SUP-003,24 V DC,CAN,-40,65,2690,ACTIVE
COMP-015,Brake Pressure Sensor,BRAKE,SUP-006,5 V DC,CAN,-40,85,260,ACTIVE
COMP-016,Brake Valve,BRAKE,SUP-003,24 V DC,PNEUMATIC,-40,80,610,ACTIVE
COMP-017,Passenger Display 15 inch,PIS,SUP-004,24 V DC,Ethernet,-20,60,2120,ACTIVE
COMP-018,Passenger Display 15 inch Rugged,PIS,SUP-004,24 V DC,Ethernet,-40,60,2480,ACTIVE
COMP-019,PIS Control Unit,PIS,SUP-004,24 V DC,Ethernet,-20,60,1850,ACTIVE
COMP-020,Passenger Audio Amplifier,PIS,SUP-004,24 V DC,Ethernet,-20,60,970,ACTIVE
COMP-021,Passenger Display Mount,PIS,SUP-005,,,-20,60,120,ACTIVE
COMP-022,Auxiliary Power Converter,POWER,SUP-005,750 V DC in / 24 V DC out,CAN,-25,55,8900,ACTIVE
COMP-023,Auxiliary Power Converter Nordic,POWER,SUP-005,750 V DC in / 24 V DC out,CAN,-40,55,9400,ACTIVE
COMP-024,Power Converter Cooling Fan,POWER,SUP-002,24 V DC,PWM,-25,55,340,ACTIVE
COMP-025,Power Converter Cooling Fan Nordic,POWER,SUP-002,24 V DC,PWM,-40,55,390,ACTIVE
COMP-026,Battery Monitoring Unit,BATTERY,SUP-001,24 V DC,CAN,-25,60,1690,ACTIVE
COMP-027,Battery Monitoring Unit Export,BATTERY,SUP-001,48 V DC,CAN,-25,60,1820,ACTIVE
COMP-028,Battery Current Sensor,BATTERY,SUP-006,5 V DC,CAN,-25,80,180,ACTIVE
COMP-029,Battery Temperature Sensor,BATTERY,SUP-006,5 V DC,CAN,-40,80,120,ACTIVE
COMP-030,Cab Control Unit,CAB,SUP-001,24 V DC,Ethernet/CAN,-25,60,3210,ACTIVE
COMP-031,Cab Control Unit Nordic,CAB,SUP-001,24 V DC,Ethernet/CAN,-40,60,3470,ACTIVE
COMP-032,Driver Display,CAB,SUP-004,24 V DC,Ethernet,-25,60,1890,ACTIVE
COMP-033,Passenger Counting Camera,COUNTING,SUP-004,12 V DC,Ethernet,-20,55,680,ACTIVE
COMP-034,Passenger Counting Camera Rugged,COUNTING,SUP-004,12 V DC,Ethernet,-40,55,760,ACTIVE
COMP-035,Passenger Counting Processor,COUNTING,SUP-001,24 V DC,Ethernet,-20,60,1120,ACTIVE
COMP-036,Passenger Counting Mount,COUNTING,SUP-005,,,-20,60,75,ACTIVE
COMP-037,LED Driver,LIGHTING,SUP-005,24 V DC,DALI,-25,60,410,ACTIVE
COMP-038,LED Driver Nordic,LIGHTING,SUP-005,24 V DC,DALI,-40,60,460,ACTIVE
COMP-039,LED Light Module,LIGHTING,SUP-005,24 V DC,DALI,-25,60,290,ACTIVE
COMP-040,Emergency Light Module,LIGHTING,SUP-005,24 V DC,DALI,-25,60,340,ACTIVE
