plm_row_id,variant_ref,assembly_ref,assembly_description,component_ref,component_description,quantity,uom,supplier_name,line_status
BOM-0001,REGIO-STD,HVAC-M01,HVAC module,CTRL-AIR-01,HVAC control unit,1,pcs,Siemens Mobility GmbH,Released
BOM-0002,REGIO-STD,HVAC-M01,HVAC module,FAN-AIR01,Fan ventilation cabine,2,EA,Faiveley Transport SAS,Released
BOM-0003,REGIO-STD,HVAC-M01,Module HVAC,CAPT-TEMP-01,Capteur température HVAC,2,unit,TE,Released
BOM-0004,REGIO-STD,HVAC-M01,Climate control assembly,FILTER-HVAC-01,HVAC filter,1,units,Faiveley Transport SAS,Released
BOM-0005,REGIO-STD,DOOR-M02,Door system control assembly,CTRL-DOOR-01,Door control unit 24V,1,pcs,Knorr-Bremse,Released
BOM-0006,REGIO-STD,DOOR-M02,Door control module,DOOR-MOTOR-01,Door motor,2,EA,Knorr-Bremse,Released
BOM-0007,REGIO-STD,DOOR-M02,Module contrôle portes,DPS-01,Capteur position porte,2,unit,TE,Released
BOM-0008,REGIO-STD,BRAKE-M03,Brake control module,BRAKE-CTRL-01,Unité de contrôle frein,1,pcs,Knorr-Bremse,Released
BOM-0009,REGIO-STD,BRAKE-M03,Brake control assembly,PRESS-SENS-BRAKE,Bremdrucksensor,4,EA,TE CONNECTIVITY,Released
BOM-0010,REGIO-STD,BRAKE-M03,Brake control assembly,BRK-VLV-01,Brake valve,4,unit,Knorr-Bremse Rail Systems,Released
BOM-0011,REGIO-STD,PIS-M04,Module affichage voyageurs,PIS-DISPLAY-15,Afficheur passagers 15 pouces,2,pcs,Thales Ground Transportation Systems,Released
BOM-0012,REGIO-STD,PIS-M04,Passenger information display module,PIS-CU-01,PIS control unit,1,EA,Thales GTS,Released
BOM-0013,REGIO-STD,PIS-M04,PIS display assembly,AMP-PAX-01,Passenger audio amplifier,1,unit,Thales Ground Transportation Systems,Released
BOM-0014,REGIO-STD,PIS-M04,PIS display assembly,PIS-MOUNT-15,Display mount,2,units,SCHALTBAU GmbH,Released
BOM-0015,REGIO-STD,APC-M05,AUX power module,APC-750-24,AUX power converter,1,pcs,SCHALTBAU GmbH,Released
BOM-0016,REGIO-STD,APC-M05,Auxiliary power conversion module,CONV-FAN-01,Ventilateur convertisseur,2,EA,Faiveley Transport,Released
BOM-0017,REGIO-STD,BAT-M06,Module surveillance batterie,BATT-MON-01,Battery monitoring unit,1,pcs,Siemens Mobility GmbH,Released
BOM-0018,REGIO-STD,BAT-M06,Battery monitoring module,BAT-CURRENT-01,Battery current sensor,1,EA,TE Connectivity,Released
BOM-0019,REGIO-STD,BAT-M06,Battery monitoring module,BTS-029,Battery temperature sensor,4,unit,TE CONNECTIVITY,Released
BOM-0020,REGIO-STD,CAB-M07,Driver cab control assembly,CAB-CTRL-01,Driver cab controller,1,pcs,SIEMENS MOBILITY,Released
BOM-0021,REGIO-STD,CAB-M07,Module contrôle cabine,CAB-DISP-01,Driver display,1,EA,Thales GTS,Released
BOM-0022,REGIO-STD,PCOUNT-M08,Passenger counting assembly,PAX-COUNT-CAM,PAX counting camera,4,pcs,Thales GTS,Released
BOM-0023,REGIO-STD,PCOUNT-M08,Passenger counting module,PASSCOUNT-CPU,Processeur comptage voyageurs,1,EA,Siemens Mobility GmbH,Released
BOM-0024,REGIO-STD,PCOUNT-M08,Passenger counting module,PCOUNT-BRKT,Counting camera bracket,4,unit,Schaltbau GmbH,Released
BOM-0025,REGIO-STD,LIGHT-M09,Module éclairage intérieur,LED-DRV-01,LED Treiber,6,pcs,Schaltbau GmbH,Released
BOM-0026,REGIO-STD,LIGHT-M09,Interior lighting module,INTERIOR-LED-01,Interior LED,12,EA,SCHALTBAU GmbH,Released
BOM-0027,REGIO-STD,LIGHT-M09,Interior lighting module,ELM-040,Module éclairage secours,4,unit,SCHALTBAU GmbH,Released
BOM-0028,REGIO-COMFORT,HVAC-M02,Climate control assembly,CTRL-AIR01,HVAC controller 24V,1,pcs,Siemens,Released
BOM-0029,REGIO-COMFORT,HVAC-M02,Climate control assembly,HVAC-FAN-01,Fan ventilation cabine,2,EA,Faiveley Transport,Released
BOM-0030,REGIO-COMFORT,HVAC-M02,HVAC module,TEMP-SENS-01,Capteur température HVAC,2,unit,TE CONNECTIVITY,Released
BOM-0031,REGIO-COMFORT,HVAC-M02,Climate control assembly,HVAC-FILTER-01,Air conditioning filter,one,units,Faiveley Transport,Released
BOM-0032,REGIO-COMFORT,DOOR-M02,Door control module,DOOR-CTRL-01,Door control unit 24V,1,pcs,Knorr-Bremse Rail Systems,Released
BOM-0033,REGIO-COMFORT,DOOR-M02,Door control module,DMTR-01,Motorisation porte,2,EA,Knorr Bremse,Released
BOM-0034,REGIO-COMFORT,DOOR-M02,Door control module,DOOR-POS-01,Door pos. sensor,2,unit,TE CONNECTIVITY,Released
BOM-0035,REGIO-COMFORT,BRAKE-M03,Brake control assembly,BCU-01,Bremssteuergerät,1,pcs,Knorr Bremse,Released
BOM-0036,REGIO-COMFORT,BRAKE-M03,Brake control assembly,BPS-015,Brake pressure sensor,4,EA,TE Connectivity,Released
BOM-0037,REGIO-COMFORT,BRAKE-M03,Brake control module,BRAKE-VALVE-01,Valve de frein,4,unit,Knorr-Bremse,Released
BOM-0038,REGIO-COMFORT,PAX-INFO-M01,Passenger information display module,PAX-DISP-15,Passenger display 15 inch,2,pcs,Thales Ground Transportation Systems,Released
