variant_ref,assembly_id,component_id,base_component_id,is_variant_specific_component
REGIO-STD,ASM-001,COMP-001,COMP-001,false
REGIO-STD,ASM-001,COMP-002,COMP-002,false
REGIO-STD,ASM-001,COMP-005,COMP-005,false
REGIO-STD,ASM-001,COMP-007,COMP-007,false
REGIO-STD,ASM-002,COMP-008,COMP-008,false
REGIO-STD,ASM-002,COMP-011,COMP-011,false
REGIO-STD,ASM-002,COMP-012,COMP-012,false
REGIO-STD,ASM-003,COMP-013,COMP-013,false
REGIO-STD,ASM-003,COMP-015,COMP-015,false
REGIO-STD,ASM-003,COMP-016,COMP-016,false
REGIO-STD,ASM-004,COMP-017,COMP-017,false
REGIO-STD,ASM-004,COMP-019,COMP-019,false
REGIO-STD,ASM-004,COMP-020,COMP-020,false
REGIO-STD,ASM-004,COMP-021,COMP-021,false
REGIO-STD,ASM-005,COMP-022,COMP-022,false
REGIO-STD,ASM-005,COMP-024,COMP-024,false
REGIO-STD,ASM-006,COMP-026,COMP-026,false
REGIO-STD,ASM-006,COMP-028,COMP-028,false
REGIO-STD,ASM-006,COMP-029,COMP-029,false
REGIO-STD,ASM-007,COMP-030,COMP-030,false
REGIO-STD,ASM-007,COMP-032,COMP-032,false
REGIO-STD,ASM-008,COMP-033,COMP-033,false
REGIO-STD,ASM-008,COMP-035,COMP-035,false
REGIO-STD,ASM-008,COMP-036,COMP-036,false
REGIO-STD,ASM-009,COMP-037,COMP-037,false
REGIO-STD,ASM-009,COMP-039,COMP-039,false
REGIO-STD,ASM-009,COMP-040,COMP-040,false
REGIO-COMFORT,ASM-001,COMP-001,COMP-001,false
REGIO-COMFORT,ASM-001,COMP-002,COMP-002,false
REGIO-COMFORT,ASM-001,COMP-005,COMP-005,false
REGIO-COMFORT,ASM-001,COMP-007,COMP-007,false
REGIO-COMFORT,ASM-002,COMP-008,COMP-008,false
REGIO-COMFORT,ASM-002,COMP-011,COMP-011,false
REGIO-COMFORT,ASM-002,COMP-012,COMP-012,false
