material_id,material_description,material_type,base_unit,supplier_id,category,status,standard_cost_eur
MAT-10001,HVAC CONTROL UNIT 24VDC,COMPONENT,EA,SUP-001,HVAC,ACTIVE,1850
MAT-10002,HVAC Fan Standard,COMPONENT,EA,SUP-002,HVAC,ACTIVE,920
MAT-10003,HVAC Fan High Capacity,COMPONENT,EA,SUP-002,HVAC,ACTIVE,1180
MAT-10004,HVAC Fan Nordic,COMPONENT,EA,SUP-002,HVAC,ACTIVE,1260
MAT-10005,HVAC Temperature Sensor,COMPONENT,EA,SUP-006,HVAC,ACTIVE,140
MAT-10006,HVAC Temperature Sensor Nordic,COMPONENT,EA,SUP-006,HVAC,ACTIVE,165
MAT-10007,HVAC Filter,COMPONENT,EA,SUP-002,HVAC,ACTIVE,85
MAT-10008,Door Control Unit,COMPONENT,EA,SUP-003,DOOR,ACTIVE,1320
MAT-10009,Door Control Unit Heavy Duty,COMPONENT,EA,SUP-003,DOOR,ACTIVE,1490
MAT-10010,Door Control Unit Export,COMPONENT,EA,SUP-003,DOOR,ACTIVE,1510
MAT-10011,Door Motor,COMPONENT,EA,SUP-003,DOOR,ACTIVE,780
MAT-10012,Door Position Sensor,COMPONENT,EA,SUP-006,DOOR,ACTIVE,95
MAT-10013,Brake Control Unit,COMPONENT,EA,SUP-003,BRAKE,ACTIVE,2480
MAT-10014,Brake Control Unit Nordic,COMPONENT,EA,SUP-003,BRAKE,ACTIVE,2690
MAT-10015,Brake Pressure Sensor,COMPONENT,EA,SUP-006,BRAKE,ACTIVE,260
MAT-10016,Brake Valve,COMPONENT,EA,SUP-003,BRAKE,ACTIVE,610
MAT-10017,"Passenger Display 15""",COMPONENT,EA,SUP-004,PIS,ACTIVE,2120
MAT-10018,Passenger Display 15 inch Rugged,COMPONENT,EA,SUP-004,PIS,ACTIVE,2480
MAT-10019,PIS Control Unit,COMPONENT,EA,SUP-004,PIS,ACTIVE,1850
MAT-10020,Passenger Audio Amplifier,COMPONENT,EA,SUP-004,PIS,ACTIVE,970
MAT-10021,Passenger Display Mount,COMPONENT,EA,SUP-005,PIS,ACTIVE,120
MAT-10022,Auxiliary Power Converter,COMPONENT,EA,SUP-005,POWER,ACTIVE,8900
MAT-10023,Auxiliary Power Converter Nordic,COMPONENT,EA,SUP-005,POWER,ACTIVE,9400
MAT-10024,Power Converter Cooling Fan,COMPONENT,EA,SUP-002,POWER,ACTIVE,340
MAT-10025,Power Converter Cooling Fan Nordic,COMPONENT,EA,SUP-002,POWER,ACTIVE,390
MAT-10026,Battery Monitoring Unit,COMPONENT,EA,SUP-001,BATTERY,ACTIVE,1690
MAT-10027,Battery monitoring unit 48V export,COMPONENT,EA,SUP-001,BATTERY,ACTIVE,1820
MAT-10028,Battery Current Sensor,COMPONENT,EA,SUP-006,BATTERY,ACTIVE,180
MAT-10029,Battery Temperature Sensor,COMPONENT,EA,SUP-006,BATTERY,ACTIVE,120
MAT-10030,Cab Control Unit,COMPONENT,EA,SUP-001,CAB,ACTIVE,3210
MAT-10031,Cab Control Unit Nordic,COMPONENT,EA,SUP-001,CAB,ACTIVE,3470
MAT-10032,Driver Display,COMPONENT,EA,SUP-004,CAB,ACTIVE,1890
MAT-10033,Passenger Counting Camera,COMPONENT,EA,SUP-004,COUNTING,ACTIVE,680
MAT-10034,Passenger Counting Camera Rugged,COMPONENT,EA,SUP-004,COUNTING,ACTIVE,760
MAT-10035,Passenger Counting Processor,COMPONENT,EA,SUP-001,COUNTING,ACTIVE,1120
MAT-10036,Passenger Counting Mount,COMPONENT,EA,SUP-005,COUNTING,ACTIVE,75
MAT-10037,LED Driver,COMPONENT,EA,SUP-005,LIGHTING,ACTIVE,410
MAT-10038,LED Driver Nordic,COMPONENT,EA,SUP-005,LIGHTING,ACTIVE,460
MAT-10039,LED Light Module,COMPONENT,EA,SUP-005,LIGHTING,ACTIVE,290
MAT-10040,Emergency Light Module,COMPONENT,EA,SUP-005,LIGHTING,ACTIVE,340
MAT-20001,HVAC Controller Legacy 24V,COMPONENT,EA,SUP-001,HVAC,OBSOLETE,1720
MAT-20002,Passenger Display 15 inch - old revision,COMPONENT,EA,SUP-004,PIS,OBSOLETE,2050
MAT-20003,Door controller test unit,COMPONENT,EA,SUP-003,DOOR,PROTOTYPE,1390
MAT-20004,Brake pressure sensor legacy,COMPONENT,EA,SUP-006,BRAKE,OBSOLETE,235
