note_id,object_type,object_reference,language,author,date,note_text
N-001,component,CTRL-HVAC-001,en,M. Bernard,2026-02-11,Equivalent to CTRL-AIR-01 used on the previous platform. Same 24V DC supply and CAN interface. Approved for standard and comfort configurations.
N-002,component,CTRL-AIR-O1,fr,S. Martin,2026-02-13,Référence saisie avec un O au lieu du zéro dans certaines extractions PLM. Se reporter à CTRL-AIR-01.
N-003,component,TEMP-SENS-NORDIC,en,A. Johansson,2026-02-15,Nordic temperature sensor is required below -20°C. Minimum operating temperature is -40°C.
N-004,assembly,HVAC-N01,en,A. Johansson,2026-02-16,Same mounting interface and controller as the baseline HVAC module. Fan and temperature sensor are upgraded for low temperature operation.
N-005,component,DCTRL-010,en,J. Leroy,2026-02-18,Export door controller is a functional counterpart to DCTRL-001 but uses 48V DC auxiliary power. Do not merge the two material identities.
N-006,component,CTRL-DOOR-HD,fr,S. Martin,2026-02-19,"Version renforcée du contrôleur de porte, utilisée lorsque le cycle de porte est plus élevé. Même interface CAN que la version standard."
N-007,component,DISPLAY-15IN,en,P. Dubois,2026-02-20,"Same display family as PAX-DISP-15 and PIS-DISPLAY-15. The PLM references differ by project, not by physical display specification."
N-008,assembly,DISPLAY-MOD-HC,en,P. Dubois,2026-02-21,High-capacity train uses the same passenger information architecture as the standard variant. Mechanical mounting was not changed.
N-009,component,PAX-DISP-RUGGED,en,A. Johansson,2026-02-22,Rugged display is required for the Nordic configuration due to the colder operating environment. It should not be treated as the same component as the standard display.
N-010,component,PIS-CTRL-01,fr,C. Moreau,2026-02-23,"Le contrôleur PIS est commun aux configurations Standard, Comfort et Nordic."
N-011,component,APC-750-24,en,J. Leroy,2026-02-24,"Baseline auxiliary converter. 750V DC input, 24V DC output. Used on all non-export configurations."
N-012,component,POWER-CONV-NORDIC,en,A. Johansson,2026-02-25,Nordic version keeps the same electrical architecture but is qualified to -40°C. Same input/output voltage as baseline.
N-013,component,AUX-CONV-EXP,en,J. Leroy,2026-02-26,Export converter belongs to the 48V auxiliary electrical architecture. It is not an identity match with APC-750-24 even though the function is similar.
N-014,component,BAT-MON-UNIT,fr,C. Moreau,2026-02-27,Unité de surveillance batterie utilisée sur les variantes 24V.
N-015,component,BMU-027,en,J. Leroy,2026-02-28,"48V export battery monitoring unit. Functional equivalent of the 24V unit, but different electrical interface."
N-016,component,DRIVER-CAB-CU,en,P. Dubois,2026-03-01,"Cab controller is reused across standard, comfort and high-capacity variants."
N-017,component,CAB-CU-NORDIC,en,A. Johansson,2026-03-02,Nordic cab controller is based on the same architecture as the baseline unit and adds low-temperature qualification to -40°C.
N-018,component,PASSCOUNT-CAMERA,en,C. Moreau,2026-03-03,Camera family is shared across variants. Rugged camera is preferred when the environmental qualification requires it.
N-019,component,PASSCOUNT-CAMERA-RUGGED,en,A. Johansson,2026-03-04,Rugged camera has the same communication protocol and optical function as the standard camera. Housing and temperature qualification differ.
N-020,component,PASSCOUNT-CPU,fr,S. Martin,2026-03-05,"Le processeur de comptage voyageurs est identique sur les variantes Standard, Comfort et Export."
N-021,assembly,PAX-COUNT-MOD-HC,en,C. Moreau,2026-03-06,High-capacity train uses additional counting cameras but the processor and software architecture remain common.
N-022,component,LED-DRV-ND,en,A. Johansson,2026-03-07,Nordic LED driver is the cold-rated version of the baseline driver. Same DALI interface and 24V supply.
N-023,component,LIGHT-DRIVER-01,en,J. Leroy,2026-03-08,Some legacy PLM exports refer to this material as LDR-037. Both references should resolve to the same material.
N-024,component,CTRL-HVAC-001,fr,Engineering,2026-03-29,Note de conception : composant vérifié lors de la revue de conception. Aucun point bloquant.
N-025,component,FAN-AIR01,en,Engineering,2026-03-13,Installation note: component checked during design review. No open issue.
